movieId,actorId,character
3037,577476,Jérôme Fandor journaliste
3039,5791890,Jan
3039,306723,Manjas Uncle
3039,789401,Crazy jewish Steinbachs uncle
3039,901502,Harald a poet
3042,1845377,The Boy
3048,683363,Earl of Dunstandwolde
3048,676473,The Duke of Osmonde
3048,485880,Sir Jeoffrey Wildairs
3048,163540,Sir John Oxen
3051,82178,
3051,324501,Landstreicher
3051,459029,Moerder
3056,828001,General Berton
3056,676473,Paul Sylvain
3056,163540,Kleschna
3056,300561,Schram
3056,186345,Raoul Berton
3058,190516,Sir Henry
3069,5231865,
3069,159725,Store Klaus
3069,539047,Lille Klaus
3069,539049,Degnen
3069,627140,Bonden
3069,676941,Kusk
3070,404222,
3070,516974,Jack
3070,653253,
3070,338906,The Old Grandfather
3070,1346516,
3076,14363,Charles von Barton
3076,477708,Carsten Berner
3076,526234,Berchtold
3100,558236,
3102,94801,Prince Maximilien of Wallenstein
3102,743102,Moise Sthar
3102,744105,Col. Julius Holbein
3102,135493,Granduke of Wallenstein
3108,99754,Macbeth
3113,127915,
3113,148546,
3113,699710,
3113,900293,
3116,179163,Gentleman Jim
3131,42694,
3131,46403,Adolphe Hardeff
3131,188632,Monsieur Modzel
3131,324776,Lieutenant Maxime
3131,376816,Sigismond Modzel
3139,276165,
3150,96783,
3150,252476,Father Prevost
3150,353770,Jean Chamberlain
3150,526275,
3159,959921,Javert
3159,470307,Jean Valjean
3165,622772,Fantômasle banquier Nanteuil
3165,107631,Inspector Juve
3165,577476,Jérôme Fandor
3165,525283,Jacques Dollon
3167,14894,James Smith - Marys Father
3167,910400,John Howard Payne
3171,190516,Undetermined Name villain
3171,751510,Prince Zouroff
3171,71132,Correyee
3227,252472,The rich young man
3230,176699,
3241,949546,
3287,181848,
3289,676473,Kates Father
3289,908390,Fuller
3289,485880,Fornton
3289,163540,Capt. Giles
3298,301252,Sardi - Son of a Cobbler
3298,7221,Seyn - the Cobbler
3298,401967,The Caliph
3299,754823,Akbar
3299,440059,The Rajah
3299,292407,The Miser
3301,352461,Rudolf RassendyllKing Rudolf of Ruritania
3301,868456,Michael Duke of Strelsau
3301,167577,Colonel Sapt
3305,746008,
3305,2286670,
3306,489296,Green
3306,74077,Arthur Renskiöld
3306,75148,Sailor
3306,253307,Sailor
3309,753583,John Bull hipnotizõr
3309,223460,Mihunka cirkuszigazgató
3309,862278,Kertay kovácsmester
3309,9892419,
3316,1415907,Inezs Father
3316,276165,Tony
3316,194307,Jones
3316,1174665,John (Jack) Gordon
3324,249871,Conrad Meetzer
3324,237713,Ira Wilton
3324,604384,Harry Bennett
3324,511100,Jack Brent
3330,5959,Richard Wagner
3330,624601,Ludwig II.
3334,2297223,George Wyndham
3334,768673,Jack Probyn
3334,531952,Lord Layton
3334,348701,Dick Hinton
3337,102718,The Baron
3337,751510,Robin Hood
3337,71132,Alan-a-Dale
3337,227022,Sheriff of Nottingham
3337,714717,Friar Tuck
3337,860035,Hardfast
3351,401470,Jean
3351,129661,Joseph
3351,425592,
3362,98376,Wolf Larsen
3362,712660,Humphrey Van Weyden
3362,370746,Mugridge
3362,755331,Johnson
3362,712870,Minor Role
3362,124877,Sailor
3365,292407,Dr. Chevrele
3365,505354,Mr. Dupont
3365,779355,
3365,668116,
3367,901502,
3376,392637,
3376,212098,
3376,318560,
3376,159654,
3376,231657,Silvias vaderpriesterSilvias father
3379,666835,Archbishop of Canterbury
3379,871314,Prince Albert
3386,2154,
3387,746008,
3387,2937708,Mafflu
3390,718290,Child
3390,166547,Lysander
3390,239982,
3394,159780,Oles far Robert skorstensfejer
3394,169878,Skolerytter
3394,1437421,Mortensen kommis
3394,826661,Skorstensfejerdrengen Ole
3394,835591,Oles bedstefar
3404,48502,
3404,292407,Captain Kenneth
3404,736714,Hindu Servant
3404,505354,Richard Dare
3404,257617,Carrick
3404,642190,
3404,121391,
3404,101954,
3406,549989,
3414,330280,Simmonet later known as Jagon
3414,110838,Lorenz
3419,917467,Balduin a Student
3419,332024,Scapinelli an Old Sorcerer
3423,488932,Theo Graf von Dahlenberg
3423,509449,Edgar von Schmetting
3438,891238,Joe Morgan
3438,492993,Simon Slade
3438,716415,Judge Hammonds son
3441,461387,
3441,610620,Devil
3441,869645,
3442,94022,Angel Clare
3442,868456,Alec DUrberville
3442,827385,John Durbeyfield
3442,330280,Crick
3449,68213,Howard Jeffries Jr.
3449,241867,Howard Jeffries Sr.
3449,926516,Robert Underwood
3456,928108,
3464,81736,
3464,614069,
3469,121391,
3471,877941,The Invalid Inventor - Marys Father
3471,601596,Officer Burke - Officer 4434
3489,824971,Glaucus
3489,342541,Arbace
3493,435229,
3502,1865135,Hausknecht
3502,458837,Mestre Mangiabene
3502,2154,Anselmus Aselmeyer
3502,559305,Pipistrello
3504,917467,
3507,747454,Richard Thornhill
3507,118537,Dr Charles Primrose
3507,318306,Sir William Thornhill
3508,401405,Lieutenant Ward
3508,695466,General De La Monte
3508,571960,Minister Gordon
3540,7116917,Doras Little Boy
3540,616729,Paul Girard Jr.
3540,606887,Richard
3540,567245,Paul Girard Sr.
3545,933045,Captain Justin Bradford
3545,875983,Duke Leonardo de Ferrara
3545,64600,
3545,531584,
3545,789748,
3545,905629,
3565,491134,Alter Graf
3565,432721,Jean Coletti
3565,670271,Anton
3565,830724,Graf Edgar
3584,7650738,James Long
3584,924834,John Walton
3584,838165,Joseph Fennell
3584,766705,William Kendall
3584,227919,Edward Jackson
3584,3988875,Frank Tyler
3584,146957,Arthur Borden
3589,613115,Otto Bergmann
3589,24706,Secret Agent
3589,642148,Spy
3589,347532,William Bergmann
